Ticker,Measure,Mnemonic,Period,Value,Formula (reference),parsed_value,category
EXR,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2014,0,"CIQ(""EXR"",""IQ_EPS_EXCL_GUIDANCE"",""FY2014"")",,zero_as_na
EXR,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2015,0,"CIQ(""EXR"",""IQ_EPS_EXCL_GUIDANCE"",""FY2015"")",,zero_as_na
EXR,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2016,0,"CIQ(""EXR"",""IQ_EPS_EXCL_GUIDANCE"",""FY2016"")",,zero_as_na
EXR,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2017,2.79 - 2.82,"CIQ(""EXR"",""IQ_EPS_EXCL_GUIDANCE"",""FY2017"")",2.8049999999999997,range
EXR,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2018,3.05 - 3.09,"CIQ(""EXR"",""IQ_EPS_EXCL_GUIDANCE"",""FY2018"")",3.07,range
EXR,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2019,0,"CIQ(""EXR"",""IQ_EPS_EXCL_GUIDANCE"",""FY2019"")",,zero_as_na
EXR,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2014,0,"CIQ(""EXR"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2014"")",,zero_as_na
EXR,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2015,0,"CIQ(""EXR"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2015"")",,zero_as_na
EXR,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2016,0,"CIQ(""EXR"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2016"")",,zero_as_na
EXR,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2017,2.82,"CIQ(""EXR"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2017"")",2.82,number
EXR,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2018,3.09,"CIQ(""EXR"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2018"")",3.09,number
EXR,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2019,0,"CIQ(""EXR"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2019"")",,zero_as_na
EXR,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2014,0,"CIQ(""EXR"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2014"")",,zero_as_na
EXR,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2015,0,"CIQ(""EXR"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2015"")",,zero_as_na
EXR,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2016,0,"CIQ(""EXR"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2016"")",,zero_as_na
EXR,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2017,2.79,"CIQ(""EXR"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2017"")",2.79,number
EXR,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2018,3.05,"CIQ(""EXR"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2018"")",3.05,number
