Ticker,Measure,Mnemonic,Period,Value,Formula (reference),parsed_value,category
KELYA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2014,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2014"")",,zero_as_na
KELYA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2015,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2015"")",,zero_as_na
KELYA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2016,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2016"")",,zero_as_na
KELYA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2017,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2017"")",,zero_as_na
KELYA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2018,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2018"")",,zero_as_na
KELYA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2019,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2019"")",,zero_as_na
KELYA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2014,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2014"")",,zero_as_na
KELYA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2015,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2015"")",,zero_as_na
KELYA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2016,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2016"")",,zero_as_na
KELYA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2017,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2017"")",,zero_as_na
KELYA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2018,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2018"")",,zero_as_na
KELYA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2019,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2019"")",,zero_as_na
KELYA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2014,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2014"")",,zero_as_na
KELYA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2015,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2015"")",,zero_as_na
KELYA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2016,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2016"")",,zero_as_na
KELYA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2017,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2017"")",,zero_as_na
KELYA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2018,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2018"")",,zero_as_na
KELYA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2019,0,"CIQ(""KELYA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2019"")",,zero_as_na
KELYA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2014,5575.49 - 5629.62,"CIQ(""KELYA"",""IQ_REVENUE_GUIDANCE"",""FY2014"")",5602.555,range
KELYA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2015,5840.84 - 5896.46,"CIQ(""KELYA"",""IQ_REVENUE_GUIDANCE"",""FY2015"")",5868.65,range
KELYA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2016,5711.34 - 5766.52,"CIQ(""KELYA"",""IQ_REVENUE_GUIDANCE"",""FY2016"")",5738.93,range
KELYA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2017,5435.10 - 5487.87,"CIQ(""KELYA"",""IQ_REVENUE_GUIDANCE"",""FY2017"")",5461.485000000001,range
KELYA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2018,5562.50 - 5616.25,"CIQ(""KELYA"",""IQ_REVENUE_GUIDANCE"",""FY2018"")",5589.375,range
KELYA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2019,5513.90 - 5569.04,"CIQ(""KELYA"",""IQ_REVENUE_GUIDANCE"",""FY2019"")",5541.469999999999,range
KELYA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2014,5629.624,"CIQ(""KELYA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2014"")",5629.624,number
KELYA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2015,5896.462,"CIQ(""KELYA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2015"")",5896.462,number
KELYA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2016,5766.519,"CIQ(""KELYA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2016"")",5766.519,number
KELYA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2017,5487.872,"CIQ(""KELYA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2017"")",5487.872,number
KELYA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2018,5616.248,"CIQ(""KELYA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2018"")",5616.248,number
KELYA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2019,5569.039,"CIQ(""KELYA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2019"")",5569.039,number
