Ticker,Measure,Mnemonic,Period,Value,Formula (reference),parsed_value,category
CECO,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2018,0,"CIQ(""CECO"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2018"")",,zero_as_na
CECO,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2019,0,"CIQ(""CECO"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2019"")",,zero_as_na
CECO,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2014,0,"CIQ(""CECO"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2014"")",,zero_as_na
CECO,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2015,0,"CIQ(""CECO"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2015"")",,zero_as_na
CECO,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2016,0,"CIQ(""CECO"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2016"")",,zero_as_na
CECO,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2017,0,"CIQ(""CECO"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2017"")",,zero_as_na
CECO,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2018,0,"CIQ(""CECO"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2018"")",,zero_as_na
CECO,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2019,0,"CIQ(""CECO"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2019"")",,zero_as_na
CECO,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2014,0,"CIQ(""CECO"",""IQ_EBITDA_GUIDANCE"",""FY2014"")",,zero_as_na
CECO,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2015,0,"CIQ(""CECO"",""IQ_EBITDA_GUIDANCE"",""FY2015"")",,zero_as_na
CECO,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2016,0,"CIQ(""CECO"",""IQ_EBITDA_GUIDANCE"",""FY2016"")",,zero_as_na
CECO,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2017,0,"CIQ(""CECO"",""IQ_EBITDA_GUIDANCE"",""FY2017"")",,zero_as_na
CECO,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2018,0,"CIQ(""CECO"",""IQ_EBITDA_GUIDANCE"",""FY2018"")",,zero_as_na
CECO,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2019,0,"CIQ(""CECO"",""IQ_EBITDA_GUIDANCE"",""FY2019"")",,zero_as_na
CELG,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2014,0,"CIQ(""CELG"",""IQ_EPS_EXCL_GUIDANCE"",""FY2014"")",,zero_as_na
CELG,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2015,0,"CIQ(""CELG"",""IQ_EPS_EXCL_GUIDANCE"",""FY2015"")",,zero_as_na
CELG,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2016,0,"CIQ(""CELG"",""IQ_EPS_EXCL_GUIDANCE"",""FY2016"")",,zero_as_na
CELG,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2017,0,"CIQ(""CELG"",""IQ_EPS_EXCL_GUIDANCE"",""FY2017"")",,zero_as_na
CELG,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2018,0,"CIQ(""CELG"",""IQ_EPS_EXCL_GUIDANCE"",""FY2018"")",,zero_as_na
CELG,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2019,0,"CIQ(""CELG"",""IQ_EPS_EXCL_GUIDANCE"",""FY2019"")",,zero_as_na
CELG,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2014,0,"CIQ(""CELG"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2014"")",,zero_as_na
CELG,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2015,0,"CIQ(""CELG"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2015"")",,zero_as_na
CELG,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2016,0,"CIQ(""CELG"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2016"")",,zero_as_na
CELG,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2017,0,"CIQ(""CELG"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2017"")",,zero_as_na
CELG,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2018,0,"CIQ(""CELG"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2018"")",,zero_as_na
CELG,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2019,0,"CIQ(""CELG"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2019"")",,zero_as_na
CELG,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2014,0,"CIQ(""CELG"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2014"")",,zero_as_na
CELG,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2015,0,"CIQ(""CELG"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2015"")",,zero_as_na
CELG,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2016,0,"CIQ(""CELG"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2016"")",,zero_as_na
CELG,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2017,0,"CIQ(""CELG"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2017"")",,zero_as_na
CELG,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2018,0,"CIQ(""CELG"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2018"")",,zero_as_na
CELG,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2019,0,"CIQ(""CELG"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2019"")",,zero_as_na
CELG,Revenue (point),IQ_REVENUE_GUIDANCE,FY2014,7560,"CIQ(""CELG"",""IQ_REVENUE_GUIDANCE"",""FY2014"")",7560.0,number
CELG,Revenue (point),IQ_REVENUE_GUIDANCE,FY2015,9160,"CIQ(""CELG"",""IQ_REVENUE_GUIDANCE"",""FY2015"")",9160.0,number
CELG,Revenue (point),IQ_REVENUE_GUIDANCE,FY2016,11200,"CIQ(""CELG"",""IQ_REVENUE_GUIDANCE"",""FY2016"")",11200.0,number
CELG,Revenue (point),IQ_REVENUE_GUIDANCE,FY2017,13003,"CIQ(""CELG"",""IQ_REVENUE_GUIDANCE"",""FY2017"")",13003.0,number
CELG,Revenue (point),IQ_REVENUE_GUIDANCE,FY2018,15200,"CIQ(""CELG"",""IQ_REVENUE_GUIDANCE"",""FY2018"")",15200.0,number
CELG,Revenue (point),IQ_REVENUE_GUIDANCE,FY2019,0,"CIQ(""CELG"",""IQ_REVENUE_GUIDANCE"",""FY2019"")",,zero_as_na
CELG,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2014,7560,"CIQ(""CELG"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2014"")",7560.0,number
CELG,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2015,9160,"CIQ(""CELG"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2015"")",9160.0,number
CELG,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2016,11200,"CIQ(""CELG"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2016"")",11200.0,number
CELG,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2017,13003,"CIQ(""CELG"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2017"")",13003.0,number
CELG,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2018,15200,"CIQ(""CELG"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2018"")",15200.0,number
CELG,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2019,0,"CIQ(""CELG"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2019"")",,zero_as_na
CELG,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2014,7560,"CIQ(""CELG"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2014"")",7560.0,number
CELG,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2015,9160,"CIQ(""CELG"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2015"")",9160.0,number
CELG,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2016,11200,"CIQ(""CELG"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2016"")",11200.0,number
CELG,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2017,13003,"CIQ(""CELG"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2017"")",13003.0,number
CELG,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2018,15200,"CIQ(""CELG"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2018"")",15200.0,number
CELG,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2019,0,"CIQ(""CELG"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2019"")",,zero_as_na
CELG,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2014,0,"CIQ(""CELG"",""IQ_EBITDA_GUIDANCE"",""FY2014"")",,zero_as_na
CELG,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2015,0,"CIQ(""CELG"",""IQ_EBITDA_GUIDANCE"",""FY2015"")",,zero_as_na
CELG,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2016,0,"CIQ(""CELG"",""IQ_EBITDA_GUIDANCE"",""FY2016"")",,zero_as_na
CELG,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2017,0,"CIQ(""CELG"",""IQ_EBITDA_GUIDANCE"",""FY2017"")",,zero_as_na
CELG,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2018,0,"CIQ(""CELG"",""IQ_EBITDA_GUIDANCE"",""FY2018"")",,zero_as_na
CELG,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2019,0,"CIQ(""CELG"",""IQ_EBITDA_GUIDANCE"",""FY2019"")",,zero_as_na
CENTA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2014,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2014"")",,zero_as_na
CENTA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2015,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2015"")",,zero_as_na
CENTA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2016,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2016"")",,zero_as_na
CENTA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2017,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2017"")",,zero_as_na
CENTA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2018,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2018"")",,zero_as_na
CENTA,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2019,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_GUIDANCE"",""FY2019"")",,zero_as_na
CENTA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2014,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2014"")",,zero_as_na
CENTA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2015,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2015"")",,zero_as_na
CENTA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2016,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2016"")",,zero_as_na
