Ticker,Measure,Mnemonic,Period,Value,Formula (reference),parsed_value,category
A,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2014,3.04 - 3.08,"CIQ(""A"",""IQ_EPS_EXCL_GUIDANCE"",""FY2014"")",3.06,range
A,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2015,1.68 - 1.72,"CIQ(""A"",""IQ_EPS_EXCL_GUIDANCE"",""FY2015"")",1.7,range
A,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2016,1.89 - 1.91,"CIQ(""A"",""IQ_EPS_EXCL_GUIDANCE"",""FY2016"")",1.9,range
A,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2017,2.29 - 2.31,"CIQ(""A"",""IQ_EPS_EXCL_GUIDANCE"",""FY2017"")",2.3,range
A,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2018,2.69 - 2.71,"CIQ(""A"",""IQ_EPS_EXCL_GUIDANCE"",""FY2018"")",2.7,range
A,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2019,3.07 - 3.09,"CIQ(""A"",""IQ_EPS_EXCL_GUIDANCE"",""FY2019"")",3.08,range
A,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2014,3.08,"CIQ(""A"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2014"")",3.08,number
A,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2015,1.72,"CIQ(""A"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2015"")",1.72,number
A,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2016,1.91,"CIQ(""A"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2016"")",1.91,number
A,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2017,2.31,"CIQ(""A"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2017"")",2.31,number
A,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2018,2.71,"CIQ(""A"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2018"")",2.71,number
A,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2019,3.09,"CIQ(""A"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2019"")",3.09,number
A,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2014,3.04,"CIQ(""A"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2014"")",3.04,number
A,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2015,1.68,"CIQ(""A"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2015"")",1.68,number
A,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2016,1.89,"CIQ(""A"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2016"")",1.89,number
A,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2017,2.29,"CIQ(""A"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2017"")",2.29,number
A,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2018,2.69,"CIQ(""A"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2018"")",2.69,number
A,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2019,3.07,"CIQ(""A"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2019"")",3.07,number
A,Revenue (point),IQ_REVENUE_GUIDANCE,FY2014,6990.00 - 7030.00,"CIQ(""A"",""IQ_REVENUE_GUIDANCE"",""FY2014"")",7010.0,range
A,Revenue (point),IQ_REVENUE_GUIDANCE,FY2015,4030.00 - 4050.00,"CIQ(""A"",""IQ_REVENUE_GUIDANCE"",""FY2015"")",4040.0,range
A,Revenue (point),IQ_REVENUE_GUIDANCE,FY2016,4140.00 - 4160.00,"CIQ(""A"",""IQ_REVENUE_GUIDANCE"",""FY2016"")",4150.0,range
A,Revenue (point),IQ_REVENUE_GUIDANCE,FY2017,4435.00 - 4455.00,"CIQ(""A"",""IQ_REVENUE_GUIDANCE"",""FY2017"")",4445.0,range
A,Revenue (point),IQ_REVENUE_GUIDANCE,FY2018,4860.00 - 4880.00,"CIQ(""A"",""IQ_REVENUE_GUIDANCE"",""FY2018"")",4870.0,range
A,Revenue (point),IQ_REVENUE_GUIDANCE,FY2019,5105.00 - 5125.00,"CIQ(""A"",""IQ_REVENUE_GUIDANCE"",""FY2019"")",5115.0,range
A,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2014,7030,"CIQ(""A"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2014"")",7030.0,number
A,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2015,4050,"CIQ(""A"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2015"")",4050.0,number
A,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2016,4160,"CIQ(""A"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2016"")",4160.0,number
A,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2017,4455,"CIQ(""A"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2017"")",4455.0,number
A,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2018,4880,"CIQ(""A"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2018"")",4880.0,number
A,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2019,5125,"CIQ(""A"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2019"")",5125.0,number
A,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2014,6990,"CIQ(""A"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2014"")",6990.0,number
A,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2015,4030,"CIQ(""A"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2015"")",4030.0,number
A,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2016,4140,"CIQ(""A"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2016"")",4140.0,number
A,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2017,4435,"CIQ(""A"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2017"")",4435.0,number
A,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2018,4860,"CIQ(""A"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2018"")",4860.0,number
A,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2019,5105,"CIQ(""A"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2019"")",5105.0,number
A,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2014,0,"CIQ(""A"",""IQ_EBITDA_GUIDANCE"",""FY2014"")",,zero_as_na
A,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2015,0,"CIQ(""A"",""IQ_EBITDA_GUIDANCE"",""FY2015"")",,zero_as_na
A,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2016,0,"CIQ(""A"",""IQ_EBITDA_GUIDANCE"",""FY2016"")",,zero_as_na
A,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2017,0,"CIQ(""A"",""IQ_EBITDA_GUIDANCE"",""FY2017"")",,zero_as_na
A,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2018,0,"CIQ(""A"",""IQ_EBITDA_GUIDANCE"",""FY2018"")",,zero_as_na
A,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2019,0,"CIQ(""A"",""IQ_EBITDA_GUIDANCE"",""FY2019"")",,zero_as_na
AAN,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2014,0,"CIQ(""AAN"",""IQ_EPS_EXCL_GUIDANCE"",""FY2014"")",,zero_as_na
AAN,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2015,0,"CIQ(""AAN"",""IQ_EPS_EXCL_GUIDANCE"",""FY2015"")",,zero_as_na
AAN,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2016,0,"CIQ(""AAN"",""IQ_EPS_EXCL_GUIDANCE"",""FY2016"")",,zero_as_na
AAN,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2017,0,"CIQ(""AAN"",""IQ_EPS_EXCL_GUIDANCE"",""FY2017"")",,zero_as_na
AAN,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2018,0,"CIQ(""AAN"",""IQ_EPS_EXCL_GUIDANCE"",""FY2018"")",,zero_as_na
AAN,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2019,0,"CIQ(""AAN"",""IQ_EPS_EXCL_GUIDANCE"",""FY2019"")",,zero_as_na
